gc 26 @0.689s 2%: 0.011+9.2+0.024 ms clock, 0.045+0.20/9.1/16+0.097 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 27 @0.701s 2%: 0.005+0.080+0.019 ms clock, 0.020+0/0.061/0.15+0.077 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 28 @0.749s 2%: 0.010+4.7+0.029 ms clock, 0.043+0.12/4.6/9.3+0.11 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 29 @0.796s 2%: 0.019+8.7+0.021 ms clock, 0.076+0.23/8.6/15+0.086 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 30 @0.807s 2%: 0.014+0.11+0.031 ms clock, 0.059+0/0.092/0.086+0.12 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 31 @0.858s 2%: 0.025+6.6+0.059 ms clock, 0.10+0.17/4.1/8.4+0.23 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 32 @0.912s 2%: 0.011+10+0.094 ms clock, 0.047+0.23/9.6/16+0.37 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 33 @0.924s 2%: 0.039+0.69+0.051 ms clock, 0.15+0/0.34/0+0.20 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 34 @0.977s 2%: 0.012+6.2+0.21 ms clock, 0.048+0.23/6.1/6.5+0.84 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 35 @1.032s 2%: 0.021+10+0.080 ms clock, 0.086+0.33/10/15+0.32 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 36 @1.044s 2%: 0.005+3.6+0.050 ms clock, 0.022+0/0.20/0.003+0.20 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 37 @1.101s 2%: 0.016+5.4+0.025 ms clock, 0.066+0.10/5.3/5.5+0.10 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 38 @1.153s 3%: 0.015+11+0.049 ms clock, 0.060+0.24/10/20+0.19 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 39 @1.166s 3%: 0.007+0.19+0.022 ms clock, 0.030+0/0.15/0.22+0.090 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 40 @1.219s 3%: 0.019+5.2+0.022 ms clock, 0.077+0.25/5.1/5.1+0.089 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 41 @1.273s 3%: 0.012+11+0.068 ms clock, 0.051+0.23/11/13+0.27 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 42 @1.287s 3%: 0.014+0.12+1.4 ms clock, 0.059+0/0.097/0.23+5.9 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
